date,vac1,vac2
2020-12-27,18,
2020-12-28,78,
2020-12-29,185,
2020-12-30,301,
2020-12-31,384,
2021-01-01,440,
2021-01-02,512,
2021-01-03,599,
2021-01-04,2063,
2021-01-05,7419,
2021-01-06,18671,2
2021-01-07,47125,15
2021-01-08,83011,19
2021-01-09,93878,20
2021-01-10,99477,20
2021-01-11,138196,27
2021-01-12,198519,41
2021-01-13,261914,69
2021-01-14,341414,120
2021-01-15,408398,134
2021-01-16,427978,989
2021-01-17,438425,1030
2021-01-18,522545,1243
2021-01-19,650438,1503
2021-01-20,785041,1718
2021-01-21,939626,1938
2021-01-22,1057530,2211
2021-01-23,1095257,2298
2021-01-24,1104575,2403
2021-01-25,1181157,3925
2021-01-26,1279506,7879
2021-01-27,1384875,14724
2021-01-28,1506729,32295
2021-01-29,1597350,51968
2021-01-30,1625967,56646
2021-01-31,1630826,58555
2021-02-01,1682186,82697
2021-02-02,1752485,123440
2021-02-03,1823275,165448
2021-02-04,1903347,224147
2021-02-05,1970101,273723
2021-02-06,1991315,285126
2021-02-07,1996128,291581
2021-02-08,2041830,341710
2021-02-09,2106368,424147
2021-02-10,2175253,511533
2021-02-11,2260322,621897
2021-02-12,2337537,697762
2021-02-13,2359077,716438
2021-02-14,2363618,723195
2021-02-15,2400369,798351
2021-02-16,2449222,894963
2021-02-17,2498287,1002936
2021-02-18,2565544,1128620
2021-02-19,2628846,1219825
2021-02-20,2646701,1247509
2021-02-21,2649538,1252900
2021-02-22,2685721,1323799
2021-02-23,2737849,1407576
2021-02-24,2795513,1490275
2021-02-25,2893162,1579367
2021-02-26,3003937,1648829
2021-02-27,3054566,1671135
2021-02-28,3060197,1674738
2021-03-01,3123095,1727366
2021-03-02,3221563,1794132
2021-03-03,3333956,1858895
2021-03-04,3491911,1932827
2021-03-05,3687549,1994897
2021-03-06,3889565,2012180
2021-03-07,4008393,2014835
2021-03-08,4112211,2062013
2021-03-09,4280341,2116709
2021-03-10,4454400,2173060
2021-03-11,4691463,2237196
2021-03-12,4979972,2290345
2021-03-13,5206284,2305750
2021-03-14,5268202,2308472
2021-03-15,5422937,2339071
2021-03-16,5561798,2377496
2021-03-17,5709214,2414987
2021-03-18,5873667,2460030
2021-03-19,6099112,2497873
2021-03-20,6263028,2510404
2021-03-21,6311678,2512521
2021-03-22,6478028,2546810
2021-03-23,6723680,2591105
2021-03-24,6975877,2636770
2021-03-25,7311675,2685869
2021-03-26,7664733,2731383
2021-03-27,7856930,2750748
2021-03-28,7915089,2756348
2021-03-29,8114394,2810926
2021-03-30,8394683,2884677
2021-03-31,8652337,2962940
2021-04-01,8959415,3062893
2021-04-02,9235336,3163881
2021-04-03,9373446,3228919
2021-04-04,9418028,3248844
2021-04-05,9476385,3260081
2021-04-06,9683981,3377560
2021-04-07,9936919,3497072
2021-04-08,10264782,3627422
2021-04-09,10664643,3751928
2021-04-10,10873471,3838480
2021-04-11,10928129,3873491
2021-04-12,11159670,3992493
2021-04-13,11461716,4140308
2021-04-14,11747545,4285573
2021-04-15,12074305,4442739
2021-04-16,12404697,4595698
2021-04-17,12589243,4689031
2021-04-18,12639233,4725686
2021-04-19,12839510,4867191
2021-04-20,13086685,5044573
2021-04-21,13331504,5220116
2021-04-22,13609894,5417561
2021-04-23,13892533,5609077
2021-04-24,14078860,5726595
2021-04-25,14145996,5767424
2021-04-26,14357954,5933434
2021-04-27,14634446,6135900
2021-04-28,14924112,6335459
2021-04-29,15266341,6555084
2021-04-30,15622048,6765896
2021-05-01,,
2021-05-02,,
2021-05-03,,
2021-05-04,,
2021-05-05,,
2021-05-06,,
2021-05-07,,
2021-05-08,,
2021-05-09,,
2021-05-10,,
2021-05-11,,
2021-05-12,,
2021-05-13,,
2021-05-14,,
2021-05-15,,
2021-05-16,,
2021-05-17,,
2021-05-18,,
2021-05-19,,
2021-05-20,,
2021-05-21,,
2021-05-22,,
2021-05-23,,
2021-05-24,,
2021-05-25,,
2021-05-26,,
2021-05-27,,
2021-05-28,,
2021-05-29,,
2021-05-30,,
2021-05-31,,
